cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
Central Female,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,UD ,Not Hired
Central Male,55-74,RM,Unknown,Ricerca e selezione,Operai Specializzati,VI ,Not Hired
South Male,25-34,AL,Vocational Certificate,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Female,35-44,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,VI ,Not Hired
South Female,25-34,BS,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,UD ,Not Hired
South Male,35-44,BS,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,CO ,Not Hired
South Male,25-34,PD,Unknown,Lavoro subordinato,Operai Generici,AQ ,Hired
South Male,35-44,BS,Unknown,Ricerca e selezione,Operai Generici,MI ,Not Hired
South Male,45-54,MO,Other,Lavoro subordinato,Impiegati,PD ,Not Hired
South Male,45-54,TO,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
South Male,15-24,BG,Graduate,Lavoro subordinato,Operai Specializzati,TN ,Not Hired
North Male,45-54,MB,Unknown,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,RM ,Not Hired
South Female,25-34,BG,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,TV ,Not Hired
South Male,45-54,MI,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Hired
South Female,45-54,MI,Other,Lavoro subordinato,Operai Generici,MO ,Not Hired
South Male,25-34,RO,Vocational Certificate,Ricerca e selezione,Operai Generici,VI ,Not Hired
South Male,45-54,MI,Unknown,Lavoro subordinato,Operai Specializzati,BS ,Hired
South Female,35-44,AP,Unknown,Lavoro subordinato,Commerciale / Vendita,MI ,Not Hired
South Female,45-54,PD,Unknown,Lavoro subordinato,Operai Specializzati,MI ,Not Hired
South Male,45-54,AL,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,BO ,Not Hired
Central Male,35-44,BG,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,FI ,Not Hired
South Male,25-34,BZ,Unknown,Lavoro subordinato,Manutenzione / Riparazione,CN ,Not Hired
South Male,25-34,VR,Unknown,Lavoro subordinato,Operai Specializzati,MB ,Hired
South Female,35-44,BG,Unknown,Ricerca e selezione,Operai Generici,LO ,Not Hired
South Male,35-44,VA,Unknown,Lavoro subordinato,Operai Specializzati,LO ,Hired
South Male,35-44,VI,Higher Technical Institute,Ricerca e selezione,Magazzino / Logistica / Trasporti,VI ,Not Hired
South Female,25-34,LO,Unknown,Lavoro subordinato,Operai Generici,MC ,Not Hired
South Male,15-24,TO,Other,Lavoro subordinato,Operai Generici,LC ,Hired
South Male,25-34,MI,Unknown,Lavoro subordinato,Operai Specializzati,BS ,Hired
South Female,45-54,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Not Hired
South Female,25-34,MO,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,VI ,Not Hired
South Female,45-54,MI,Other,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BG ,Hired
South Female,35-44,TO,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
South Female,45-54,MI,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BG ,Hired
South Male,45-54,PN,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,CN ,Hired
South Female,35-44,MO,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BO ,Hired
South Male,25-34,MO,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,45-54,MI,Other,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,TV ,Not Hired
South Female,35-44,FR,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,BG ,Hired
South Female,25-34,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BG ,Not Hired
South Female,15-24,MB,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BO ,Hired
South Male,55-74,VI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BO ,Hired
South Female,45-54,MN,Unknown,Lavoro subordinato,Operai Generici,VA ,Not Hired
South Female,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BO ,Not Hired
South Female,15-24,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Male,35-44,CN,Higher Technical Institute,Ricerca e selezione,Operai Generici,BG ,Hired
South Female,35-44,RO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,45-54,BO,High School,Lavoro subordinato,Operai Generici,UD ,Not Hired
South Male,35-44,BS,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,VR ,Not Hired
South Female,25-34,BG,Other,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,TO ,Not Hired
South Female,25-34,PR,Unknown,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Female,25-34,BO,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,BG ,Hired
South Female,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BO ,Not Hired
South Female,25-34,LU,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Female,45-54,RM,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,PD ,Not Hired
South Male,25-34,MN,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,BS ,Hired
South Female,35-44,TV,Unknown,Lavoro subordinato,Operai Specializzati,MI ,Hired
South Female,25-34,BG,Other,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Male,35-44,PO,Unknown,Lavoro subordinato,Operai Generici,MI ,Hired
South Female,45-54,MI,Other,Ricerca e selezione,Progettisti / Design / Grafici,CN ,Hired
South Female,45-54,AT,Unknown,Lavoro subordinato,Segreteria / Servizi Generali,MI ,Not Hired
South Female,45-54,MB,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,25-34,PR,Unknown,Lavoro subordinato,Manutenzione / Riparazione,VE ,Not Hired
South Male,25-34,VI,Unknown,Lavoro subordinato,Operai Generici,CO ,Hired
South Female,25-34,BS,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Female,25-34,GE,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,VE ,Not Hired
South Female,25-34,TV,Vocational Certificate,Ricerca e selezione,Commerciale / Vendita,CH ,Hired
South Female,25-34,BG,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,BS ,Not Hired
South Male,45-54,VA,Unknown,Ricerca e selezione,Manutenzione / Riparazione,BS ,Hired
South Female,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Hired
South Male,45-54,TO,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,BO ,Hired
South Male,25-34,VA,Unknown,Ricerca e selezione,Impiegati,MI ,Hired
South Male,15-24,MB,Unknown,Ricerca e selezione,Operai Specializzati,NU ,Not Hired
South Female,45-54,UD,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,TO ,Not Hired
South Male,25-34,TN,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,VR ,Not Hired
South Male,45-54,VA,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
South Female,25-34,SV,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,TO ,Not Hired
South Female,45-54,BO,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,VI ,Not Hired
South Female,15-24,BO,Unknown,Ricerca e selezione,Operai Generici,MC ,Not Hired
South Male,45-54,BO,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Female,25-34,BO,Unknown,Lavoro subordinato,Operai Specializzati,BO ,Not Hired
Central Male,15-24,MI,Higher Technical Institute,Ricerca e selezione,Manutenzione / Riparazione,BO ,Hired
South Female,15-24,TO,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,VR ,Not Hired
South Male,35-44,CH,Unknown,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,MI ,Not Hired
South Female,35-44,MI,Graduate,Ricerca e selezione,Magazzino / Logistica / Trasporti,CN ,Hired
Central Male,15-24,LO,Other,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
South Male,35-44,BS,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Not Hired
Central Female,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,TO ,Not Hired
South Male,15-24,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Not Hired
South Female,55-74,PD,Other,Lavoro subordinato,Progettisti / Design / Grafici,TO ,Not Hired
South Male,25-34,PT,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
South Female,55-74,CH,Unknown,Ricerca e selezione,Operai Specializzati,VI ,Not Hired
South Male,35-44,PN,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,PR ,Not Hired
South Female,35-44,MI,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
Central Male,45-54,MI,Unknown,Lavoro subordinato,Operai Specializzati,MI ,Not Hired
Central Male,25-34,BG,Other,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BO ,Not Hired
Central Female,35-44,FE,Unknown,Ricerca e selezione,Operai Generici,LO ,Not Hired
South Male,35-44,TO,Unknown,Lavoro subordinato,Bar / Catering / Personale Di Sala / Cuochi / Chef,VA ,Not Hired
South Female,15-24,TO,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
South Male,25-34,VA,Unknown,Lavoro subordinato,Operai Generici,VR ,Not Hired
South Female,35-44,LT,Unknown,Lavoro subordinato,Operai Generici,PC ,Not Hired
Central Female,35-44,RM,Unknown,Lavoro subordinato,Operai Specializzati,RM ,Not Hired
South Female,45-54,TO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,TO ,Not Hired
South Female,25-34,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Male,25-34,CR,Unknown,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Female,45-54,PO,Unknown,Ricerca e selezione,Operai Generici,MI ,Not Hired
South Female,35-44,NO,Other,Lavoro subordinato,Segreteria / Servizi Generali,BS ,Hired
South Female,45-54,AQ,Unknown,Ricerca e selezione,Operai Specializzati,CR ,Not Hired
South Female,35-44,PD,Graduate,Lavoro subordinato,Commerciale / Vendita,CN ,Hired
South Female,45-54,BO,Other,Ricerca e selezione,Operai Specializzati,UD ,Not Hired
South Male,15-24,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,TV ,Not Hired
South Female,35-44,MI,Unknown,Lavoro subordinato,Ingegneria Impiantistica,MN ,Not Hired
South Male,25-34,VR,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,VI ,Not Hired
South Female,25-34,PC,Vocational Certificate,Lavoro subordinato,Manutenzione / Riparazione,TV ,Not Hired
South Female,55-74,LC,Other,Ricerca e selezione,Operai Generici,BG ,Hired
South Female,35-44,VR,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,RE ,Not Hired
South Male,25-34,PD,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,TV ,Not Hired
South Male,25-34,VR,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,CN ,Hired
South Male,15-24,BO,Other,Ricerca e selezione,Finanza / Contabilità,BS ,Not Hired
South Female,35-44,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,CO ,Hired
South Female,15-24,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,VI ,Not Hired
South Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Male,25-34,RM,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,TN ,Not Hired
South Female,25-34,PC,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,VR ,Not Hired
South Female,55-74,MI,Unknown,Ricerca e selezione,Operai Specializzati,VE ,Not Hired
South Male,25-34,BG,Other,Ricerca e selezione,Commerciale / Vendita,MI ,Not Hired
South Male,45-54,TO,Other,Ricerca e selezione,Operai Generici,VA ,Not Hired
Central Male,45-54,PD,Unknown,Ricerca e selezione,Impiegati,UD ,Not Hired
South Male,35-44,TO,Unknown,Ricerca e selezione,Operai Specializzati,PI ,Not Hired
South Male,35-44,RM,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Hired
South Female,45-54,PR,Unknown,Lavoro subordinato,Operai Generici,MI ,Hired
South Female,25-34,MI,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,BO ,Hired
South Female,45-54,BS,Other,Lavoro subordinato,Operai Generici,LC ,Not Hired
South Female,25-34,TO,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
South Female,25-34,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BO ,Hired
South Male,55-74,PR,Other,Lavoro subordinato,Operai Specializzati,BO ,Hired
South Male,25-34,CO,Other,Ricerca e selezione,Operai Specializzati,CN ,Not Hired
South Male,25-34,RE,Other,Lavoro subordinato,Impiegati,CR ,Hired
South Female,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BO ,Not Hired
South Female,35-44,PO,Higher Technical Institute,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,35-44,VR,Undergraduate,Ricerca e selezione,Finanza / Contabilità,CN ,Hired
Central Male,15-24,SV,Unknown,Ricerca e selezione,Finanza / Contabilità,VI ,Not Hired
South Male,15-24,MI,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
South Female,35-44,VI,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
South Male,25-34,RM,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,CN ,Hired
South Male,45-54,MI,Higher Technical Institute,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
South Male,15-24,VE,Other,Lavoro subordinato,Manutenzione / Riparazione,MI ,Hired
South Female,55-74,PR,Unknown,Lavoro subordinato,Operai Generici,BO ,Hired
South Male,35-44,UD,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
South Female,45-54,MI,Unknown,Lavoro subordinato,Commerciale / Vendita,MN ,Not Hired
South Female,35-44,BS,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MO ,Not Hired
South Female,25-34,VR,Vocational Certificate,Ricerca e selezione,Finanza / Contabilità,CR ,Hired
South Female,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Female,35-44,MO,Unknown,Lavoro subordinato,Finanza / Contabilità,RE ,Not Hired
South Male,35-44,PI,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,15-24,BG,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
South Male,35-44,TO,Other,Lavoro subordinato,Manutenzione / Riparazione,BO ,Hired
Central Male,35-44,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Male,35-44,CR,Other,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
South Male,35-44,MI,Unknown,Ricerca e selezione,Operai Generici,MI ,Not Hired
South Female,35-44,MI,Unknown,Ricerca e selezione,Operai Specializzati,VE ,Not Hired
South Female,55-74,BG,Other,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,VI ,Not Hired
South Male,25-34,BS,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,MI ,Not Hired
South Female,15-24,MB,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,UD ,Not Hired
South Female,35-44,PR,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BO ,Hired
South Female,45-54,PD,Unknown,Lavoro subordinato,Operai Specializzati,MI ,Not Hired
South Male,35-44,BL,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
South Female,35-44,BO,Unknown,Ricerca e selezione,Operai Generici,MN ,Not Hired
South Female,15-24,TV,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,MI ,Hired
South Female,45-54,VI,Unknown,Lavoro subordinato,Operai Generici,MI ,Hired
South Female,25-34,PN,Unknown,Ricerca e selezione,Operai Generici,CH ,Hired
South Female,25-34,UD,Other,Lavoro subordinato,Operai Generici,MI ,Hired
Central Male,35-44,VA,Unknown,Lavoro subordinato,Operai Generici,RM ,Not Hired
North Male,25-34,TO,Unknown,Lavoro subordinato,Operai Specializzati,BO ,Hired
South Male,45-54,TO,Unknown,Lavoro subordinato,Finanza / Contabilità,MN ,Hired
South Male,55-74,MI,Unknown,Ricerca e selezione,Operai Specializzati,RM ,Not Hired
South Male,15-24,UD,Other,Ricerca e selezione,Management / Responsabili / Supervisori,UD ,Not Hired
South Male,25-34,BO,Unknown,Ricerca e selezione,Operai Generici,TO ,Not Hired
South Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,VI ,Not Hired
South Female,15-24,BG,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,VI ,Not Hired
South Female,25-34,MI,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
Central Female,25-34,PR,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,BS ,Hired
South Female,35-44,BG,Unknown,Ricerca e selezione,Finanza / Contabilità,MI ,Not Hired
South Female,25-34,CO,Unknown,Ricerca e selezione,Operai Specializzati,MN ,Not Hired
South Female,45-54,PC,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,MI ,Not Hired
South Male,25-34,BO,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,VI ,Not Hired
South Male,45-54,RM,Unknown,Ricerca e selezione,Operai Generici,LO ,Hired
South Male,55-74,VR,Graduate,Ricerca e selezione,Operai Generici,BG ,Hired
Central Male,25-34,TO,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,CN ,Hired
South Female,15-24,UD,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BO ,Hired
South Female,55-74,TV,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
South Male,35-44,PN,Unknown,Ricerca e selezione,Operai Generici,VR ,Not Hired
South Female,25-34,PR,Unknown,Ricerca e selezione,Commerciale / Vendita,MI ,Not Hired
Central Male,15-24,BZ,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BS ,Not Hired
South Female,45-54,LC,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Male,25-34,VR,Other,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,15-24,MI,Other,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Female,25-34,MO,Unknown,Lavoro subordinato,Operai Specializzati,RM ,Not Hired
South Female,25-34,FI,High School,Lavoro subordinato,Operai Specializzati,MI ,Not Hired
Central Male,15-24,MI,Other,Lavoro subordinato,Operai Specializzati,TV ,Not Hired
South Female,45-54,BO,Unknown,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,CN ,Not Hired
South Female,25-34,VR,Other,Ricerca e selezione,Operai Specializzati,PI ,Hired
South Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,MO ,Not Hired
South Female,45-54,MO,Unknown,Ricerca e selezione,Operai Specializzati,RM ,Not Hired
South Male,25-34,MN,Vocational Certificate,Ricerca e selezione,Operai Specializzati,BO ,Hired
South Male,25-34,TO,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,MI ,Hired
South Female,25-34,GO,Unknown,Ricerca e selezione,Operai Generici,BO ,Hired
South Female,45-54,VR,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,VR ,Not Hired
South Female,15-24,BO,High School,Ricerca e selezione,Finanza / Contabilità,PD ,Not Hired
South Female,25-34,TO,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
South Female,15-24,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Not Hired
North Female,45-54,LC,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,TN ,Not Hired
Central Male,35-44,MO,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
South Female,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
Central Female,45-54,BS,Unknown,Lavoro subordinato,Operai Generici,BO ,Not Hired
South Female,25-34,BO,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BO ,Not Hired
South Female,25-34,BS,Unknown,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BO ,Not Hired
Central Male,25-34,CR,Unknown,Lavoro subordinato,Segreteria / Servizi Generali,MI ,Not Hired
South Male,35-44,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,BS ,Hired
Central Male,25-34,CH,Unknown,Lavoro subordinato,Operai Specializzati,TV ,Not Hired
South Male,25-34,VE,Unknown,Ricerca e selezione,Operai Generici,MN ,Hired
South Male,55-74,VC,Unknown,Lavoro subordinato,Operai Specializzati,MO ,Hired
South Male,15-24,MI,Unknown,Lavoro subordinato,Operai Generici,TO ,Not Hired
South Female,25-34,BS,Unknown,Lavoro subordinato,Impiegati,MI ,Not Hired
South Female,25-34,MI,Unknown,Ricerca e selezione,Operai Generici,BG ,Hired
South Female,55-74,BG,Vocational Certificate,Lavoro subordinato,GDO / Retail / Commessi / Scaffalisti,BO ,Not Hired
Central Female,25-34,PD,Unknown,Ricerca e selezione,Manutenzione / Riparazione,CN ,Hired
South Female,45-54,BG,Graduate,Ricerca e selezione,Finanza / Contabilità,BS ,Not Hired
South Female,25-34,UD,Other,Ricerca e selezione,Operai Generici,BG ,Hired
Central Male,25-34,BS,Other,Ricerca e selezione,GDO / Retail / Commessi / Scaffalisti,BS ,Not Hired
South Male,35-44,VA,Other,Ricerca e selezione,Segreteria / Servizi Generali,VR ,Not Hired
South Male,15-24,MI,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
South Female,35-44,VR,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,CR ,Hired
South Female,35-44,PR,Unknown,Ricerca e selezione,Operai Generici,PI ,Not Hired
South Male,35-44,TO,Unknown,Ricerca e selezione,Operai Generici,MB ,Hired
South Female,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,MI ,Not Hired
South Male,55-74,PD,Unknown,Ricerca e selezione,Operai Generici,FI ,Hired
South Female,55-74,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,RM ,Not Hired
South Male,45-54,BO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,PR ,Not Hired
South Male,45-54,VR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
